Description,Severity,Status,First Seen,Issue age,File,Technology,Lines of code
Interface module with 66 lines of code,MEDIUM,RAW,2026-06-04,43,src/helpers/ArcGISHelpers/createGeometryGraphic.ts,TypeScript,66
Interface module with 60 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/tableExports/shapefileExport.ts,TypeScript,60
Interface module with 60 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/ArcGISHelpers/bufferPointsOnLayer.ts,TypeScript,60
Interface module with 59 lines of code,MEDIUM,RAW,2026-06-04,43,src/helpers/arcgis/deleteArcgisAttachment.ts,TypeScript,59
Interface module with 56 lines of code,MEDIUM,RAW,2026-06-04,43,src/helpers/ArcGISHelpers/createPin.ts,TypeScript,56
Interface module with 56 lines of code,MEDIUM,RAW,2026-06-06,41,src/helpers/ArcGISHelpers/finishedPlanMapGraphics.ts,TypeScript,56
Interface module with 55 lines of code,MEDIUM,RAW,2026-07-17,0,src/api-hooks/mutations/useCreateData.ts,TypeScript,55
Interface module with 54 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/ArcGISHelpers/planBoundingBoxGeometry.ts,TypeScript,54
Interface module with 53 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/tableExports/csvExport.ts,TypeScript,53
Interface module with 52 lines of code,MEDIUM,RAW,2026-06-10,37,src/hooks/layout/useResizableSidebar.ts,TypeScript,52
Interface module with 51 lines of code,MEDIUM,RAW,2026-07-17,0,backend/src/configure/configureRequestMiddleware.ts,TypeScript,51
Interface module with 50 lines of code,MEDIUM,RAW,2026-07-17,0,src/hooks/zustand/shared/flightPlanFormSetters.ts,TypeScript,50
Interface module with 49 lines of code,MEDIUM,RAW,2026-07-17,0,src/api-hooks/mutations/useUpdateData.ts,TypeScript,49
Interface module with 49 lines of code,MEDIUM,RAW,2026-06-04,43,src/helpers/ArcGISHelpers/createPointGraphic.ts,TypeScript,49
Interface module with 48 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/tableExports/xlsxExport.ts,TypeScript,48
Interface module with 48 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/ArcGISHelpers/syncBluePointGraphics.ts,TypeScript,48
Interface module with 47 lines of code,MEDIUM,RAW,2026-07-13,4,src/hooks/bottom/useBottomCompactListView.ts,TypeScript,47
Interface module with 47 lines of code,MEDIUM,RAW,2026-07-17,0,src/helpers/ArcGISHelpers/planStarGraphics.ts,TypeScript,47
Interface module with 46 lines of code,MEDIUM,RAW,2026-06-29,18,src/hooks/flightPlan/usePopulateFlightPlanFormEffect.ts,TypeScript,46
Interface module with 45 lines of code,MEDIUM,RAW,2026-06-04,43,src/hooks/filters/useFilterGeometries.ts,TypeScript,45
