Source,Target,Type,Description,Status,Count,Count (Before),Undesirable
src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/StepNo/index.tsx,src/api-hooks/flightPlans/usePrepreparedFlightPlans.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/ViewPlans/index.tsx,src/api-hooks/flightPlans/usePointFlightPlans.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/index.tsx,src/api-hooks/flightPlans/useFlightPlansList.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/index.tsx,src/api-hooks/templateFlights/useTemplateFlights.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Vluchtnummer.tsx,src/api-hooks/flightPlans/useVluchtnummerExists.ts,Code call,typescript.call,removed,0,1,
src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/index.tsx,src/api-hooks/flightPlans/useFlightPlansList.ts,Code call,typescript.call,removed,0,1,
src/hooks/consts/useGetActiviteis.ts,src/api-hooks/consts/useActiviteitenQuery.ts,Code call,typescript.call,removed,0,1,
src/hooks/consts/useGetLuchtvaartuig.ts,src/api-hooks/consts/useLuchtvaartuigQuery.ts,Code call,typescript.call,removed,0,1,
src/hooks/consts/useGetOrganisaties.ts,src/api-hooks/consts/useOrganisatiesQuery.ts,Code call,typescript.call,removed,0,1,
src/hooks/consts/useGetPiloot.ts,src/api-hooks/consts/usePilotenQuery.ts,Code call,typescript.call,removed,0,1,
src/hooks/consts/useGetRegios.ts,src/api-hooks/consts/useRegiosQuery.ts,Code call,typescript.call,removed,0,1,
src/hooks/consts/useGetWaarnemers.ts,src/api-hooks/consts/useWaarnemersQuery.ts,Code call,typescript.call,removed,0,1,
src/hooks/useGetFlightTimesDistance.ts,src/api-hooks/finishedPlans/useFinishedPlanPath.ts,Code call,typescript.call,removed,0,1,
src/api-hooks/consts/useLookupQuery.ts,src/api/fetchApi.ts,Code call,typescript.call,new,1,,
src/api-hooks/emails/useEmailsList.ts,src/api/fetchApi.ts,Code call,typescript.call,recurring,1,1,
src/api-hooks/finishedPlans/finishedPlanQueryConfig.ts,src/api/fetchApi.ts,Code call,typescript.call,new,3,,
src/api-hooks/finishedPlans/usePlanPointAttachments.ts,src/api/fetchApi.ts,Code call,typescript.call,recurring,1,1,
src/api-hooks/flightPlans/flightPlanLookupQueryDefs.ts,src/api/fetchApi.ts,Code call,typescript.call,new,3,,
src/api-hooks/flightPlans/useRegionalFlightPlansCore.ts,src/api/fetchApi.ts,Code call,typescript.call,new,1,,
