Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
McCabe complexity of 7 for unit runReturningUpdate.ts.executeReturningUpdate(any),LOW,RAW,2026-07-14,7,runReturningUpdate.ts.executeReturningUpdate(any),backend/src/helpers/http/runReturningUpdate.ts#L35:70,TypeScript,28,7,1
"McCabe complexity of 6 for unit deleteUser.ts.handleDeleteUser(Request,Response)",LOW,RAW,2026-06-04,47,"deleteUser.ts.handleDeleteUser(Request,Response)",backend/src/routes/keycloak/management/users/deleteUser.ts#L7:40,TypeScript,27,6,2
McCabe complexity of 6 for unit attachDeletePointMapClick.ts.attachDeletePointMapClick(any),LOW,RAW,2026-07-17,4,attachDeletePointMapClick.ts.attachDeletePointMapClick(any),src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/Main/attachDeletePointMapClick.ts#L5:42,TypeScript,27,6,1
McCabe complexity of 6 for unit bufferFlightPlansOnLayerCore.ts.bufferFlightPlansOnLayer(BufferFlightPlansOnLayerInput),LOW,RAW,2026-07-18,3,bufferFlightPlansOnLayerCore.ts.bufferFlightPlansOnLayer(BufferFlightPlansOnLayerInput),src/helpers/ArcGISHelpers/bufferFlightPlansOnLayerCore.ts#L20:51,TypeScript,26,6,1
McCabe complexity of 6 for unit selectFromSourceGraphics.ts.syncPinsForSelection(any),LOW,RAW,2026-07-04,17,selectFromSourceGraphics.ts.syncPinsForSelection(any),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointsFromPlan/SelectFromSource/helpers/selectFromSourceGraphics.ts#L35:71,TypeScript,26,6,1
McCabe complexity of 6 for unit CurrentGeometriesList.tsx.CurrentGeometriesList(),LOW,RAW,2026-06-04,47,CurrentGeometriesList.tsx.CurrentGeometriesList(),src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/CurrentGeometriesList.tsx#L11:62,TypeScript,26,6,0
McCabe complexity of 7 for unit mapClickHitHandler.ts.handleMapClickHit(MapClickHitInput),LOW,RAW,2026-07-18,3,mapClickHitHandler.ts.handleMapClickHit(MapClickHitInput),src/hooks/popUpModal/mapClickHitHandler.ts#L24:52,TypeScript,25,7,1
McCabe complexity of 6 for unit syncSelectedPlanPathLayer.ts,LOW,RAW,2026-07-17,4,syncSelectedPlanPathLayer.ts,src/hooks/hover-click-handlers/syncSelectedPlanPathLayer.ts#L1:10,TypeScript,25,6,0
McCabe complexity of 6 for unit submitStep2(),LOW,RAW,2026-07-14,7,submitStep2(),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Buttons.tsx#L45:70,TypeScript,25,6,0
"McCabe complexity of 6 for unit middleware.ts.RequestHandler(any,any,any)",LOW,RAW,2026-06-04,47,"middleware.ts.RequestHandler(any,any,any)",backend/src/routes/devices-updates/middleware.ts#L7:34,TypeScript,25,6,3
