Description,Severity,Status,First Seen,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
7 lines occurring 4 times in 4 files,HIGH,RAW,2026-07-04,0,7,21,4,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/index.tsx#L31:37,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/index.tsx#L37:43,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Common/SelectButtons.tsx#L20:26,src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Common/SelectButtons.tsx#L26:32"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,9,9,2,false,true,TypeScript,"src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PlansList.tsx#L63:72,src/Components/HomePage/Body/Bottom/ClickedTableFunctions/PointsList.tsx#L61:70"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,24,9,9,2,false,true,TypeScript,"src/hooks/zustand/nabewerking/useChangePlanStatusState.ts#L24:37,src/hooks/zustand/nabewerking/useCreateReportState.ts#L33:46"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-01,3,9,9,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/ResultTab/PointsList.tsx#L76:85,src/Components/HomePage/Body/Left/Common/ResultTab/PointsListEdit.tsx#L52:62"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,30,9,9,2,false,true,TypeScript,"src/Components/HomePage/Head/Common/FilterTabs.tsx#L15:24,src/Components/HomePage/Body/Left/Common/TabHeader/index.tsx#L15:24"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,5,9,9,2,false,true,TypeScript,"src/hooks/points/sortPointsWithSelectionOrder.ts#L8:20,src/hooks/viewPlan/useSortedPointSelection.ts#L9:21"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,5,9,9,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/Buttons.tsx#L71:79,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/EditPoint/Buttons/RemovePoint.tsx#L31:39"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-10,24,9,9,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/templateFlightStates.ts#L45:53,src/hooks/zustand/voorbereiding/useFlightPlanState.ts#L95:103"
9 lines occurring 2 times,HIGH,RAW,2026-07-04,0,9,9,2,true,true,TypeScript,"src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerBuilders.ts#L20:28,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerBuilders.ts#L39:47"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,9,9,2,false,true,TypeScript,"src/hooks/zustand/shared/flightPlanFormFields.ts#L41:49,src/hooks/zustand/voorbereiding/useFlightPlanState.ts#L86:94"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-29,5,9,9,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/StepNo/Buttons.tsx#L8:18,src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/StepMultiplePoints/Buttons.tsx#L8:18"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,9,9,2,false,true,TypeScript,"src/helpers/tokens/ArcGISUserToken.ts#L57:65,src/helpers/refreshToken.ts#L24:32"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,9,9,2,false,true,TypeScript,"backend/src/routes/template_plans/createTemplateFlightPlan.ts#L50:59,backend/src/routes/template_plans/createTemplateName.ts#L29:38"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-01,3,9,9,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/ResultTab/PointsList.tsx#L31:39,src/Components/HomePage/Body/Left/Common/ResultTab/PointsListEdit.tsx#L42:50"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-06,28,9,9,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/CoordinatesInput.tsx#L12:22,src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/UpdateBtn.tsx#L16:26"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-06-04,30,9,9,2,false,true,TypeScript,"src/hooks/filters/usePlansFilterStore.ts#L25:36,src/hooks/filters/usePointsFilterStore.ts#L31:42"
9 lines occurring 2 times in 2 files,HIGH,RAW,2026-07-04,0,9,9,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/index.tsx#L56:68,src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/index.tsx#L58:70"
6 lines occurring 5 times in 5 files,HIGH,RAW,2026-07-04,0,6,24,5,false,false,TypeScript,"src/helpers/points/buildPointUpdatePayload.ts#L4:9,src/Types/finished_plans.ts#L31:36,backend/src/helpers/validators/finishedPlan.ts#L38:43,src/Types/index.ts#L5:10,src/helpers/points/pointColumnKeys.ts#L34:39"
