WorkPackageID,Category,Status,Severity,Description,File,Unit,LOC,Complexity,Parameters,FanIn
MAINT-03,Unit size,RAW,MEDIUM,47 lines of code for unit index.tsx.Step2(any),src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step2/index.tsx,index.tsx.Step2(any),47,4,1,
MAINT-03,Unit size,RAW,MEDIUM,47 lines of code for unit index.tsx.Step3(any),src/Components/HomePage/Body/Left/Voorbereiding/TemplateFlight/Steps/Step3/index.tsx,index.tsx.Step3(any),47,4,1,
MAINT-01,Unit size,RAW,MEDIUM,"46 lines of code for unit loginUser.ts.loginUser(Request,Response)",backend/src/routes/auth/loginUser.ts,"loginUser.ts.loginUser(Request,Response)",46,7,2,
MAINT-08,Unit size,RAW,MEDIUM,46 lines of code for unit Data.tsx.Data(any),src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/Data.tsx,Data.tsx.Data(any),46,7,1,
MAINT-05,Unit size,RAW,MEDIUM,"46 lines of code for unit deleteArcgisAttachment.ts.deleteArcgisPointAttachment(string,number|null)",src/helpers/arcgis/deleteArcgisAttachment.ts,"deleteArcgisAttachment.ts.deleteArcgisPointAttachment(string,number|null)",46,12,2,
MAINT-01,Unit size,RAW,MEDIUM,"46 lines of code for unit getSingleGeometry.ts.getSingleGeometry(Request,Response)",backend/src/routes/geometries/getSingleGeometry.ts,"getSingleGeometry.ts.getSingleGeometry(Request,Response)",46,5,2,
MAINT-08,Unit size,RAW,MEDIUM,46 lines of code for unit handleSubmit(React.FormEvent),src/Components/DashboardPage/AddUser/index.tsx,handleSubmit(React.FormEvent),46,8,1,
MAINT-08,Unit size,RAW,MEDIUM,46 lines of code for unit useHoverPointsAndGeometries.ts.useHoverPointsAndGeometries(UseHoverPointsAndGeometriesOptions),src/hooks/features/useHoverPointsAndGeometries.ts,useHoverPointsAndGeometries.ts.useHoverPointsAndGeometries(UseHoverPointsAndGeometriesOptions),46,17,1,
MAINT-08,Unit size,RAW,MEDIUM,46 lines of code for unit BasemapsList.tsx.BasemapsList(any),src/Components/HomePage/Body/Left/Common/KaartLegend/BasemapsList.tsx,BasemapsList.tsx.BasemapsList(any),46,3,1,
MAINT-01,Unit size,RAW,MEDIUM,46 lines of code for unit swagger.ts,backend/src/routes/swagger.ts,swagger.ts,46,2,0,
MAINT-01,Unit size,RAW,MEDIUM,46 lines of code for unit server.ts,backend/src/server.ts,server.ts,46,7,0,
MAINT-08,Unit size,RAW,MEDIUM,46 lines of code for unit index.tsx.EditGeometry(),src/Components/HomePage/Body/Left/Tools/EditGeometry/index.tsx,index.tsx.EditGeometry(),46,8,0,
MAINT-01,Unit size,RAW,MEDIUM,45 lines of code for unit index.ts,backend/src/routes/arcgis/index.ts,index.ts,45,9,0,
