Description,Severity,Status,Issue age,Lines of code,Redundant lines of code,Occurrences,Same file,Same component,Technology,Locations
11 lines occurring 3 times in 3 files,HIGH,RAW,1,11,22,3,false,true,TypeScript,"src/Components/DashboardPage/AllRoles/index.tsx#L39:56,src/Components/DashboardPage/AddUser/index.tsx#L59:76,src/Components/DashboardPage/EditUser/index.tsx#L69:86"
8 lines occurring 9 times in 9 files,HIGH,RAW,1,8,64,9,false,true,TypeScript,"backend/src/routes/flightPlans/getAllFlightPlans.ts#L29:36,backend/src/routes/flightPlans/getFlightPlanById.ts#L30:37,backend/src/routes/flightPlans/getFullPreparedFlightPlans.ts#L31:38,backend/src/routes/flightPlans/getPrepreparedFlightPlans.ts#L28:35,backend/src/routes/points/getPrePreparedPlanPoints.ts#L14:21,backend/src/routes/flightPlans/getSearchedFlightPlans.ts#L34:41,backend/src/routes/points/getSearchedPoints.ts#L14:21,backend/src/routes/template_plans/getTemplateFlightPlans.ts#L18:25,backend/src/routes/flightPlans/getUnPreparedPlans.ts#L24:31"
21 lines occurring 2 times in 2 files,HIGH,RAW,2,21,21,2,false,true,TypeScript,"src/hooks/zustand/nabewerking/useFinishedPlansState.ts#L39:69,src/hooks/zustand/useReuseFlightPlan.ts#L35:65"
21 lines occurring 2 times in 2 files,HIGH,RAW,2,21,21,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/EditFlight/FormElements.tsx#L15:36,src/Components/HomePage/Body/Left/Voorbereiding/ReuseFlightPlan/Steps/Step2/FormInputs.tsx#L15:36"
10 lines occurring 3 times in 3 files,HIGH,RAW,1,10,20,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step1/Buttons.tsx#L82:91,src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/Form/index.tsx#L54:63,src/Components/HomePage/Body/Left/Tools/AandachtspuntenVerwijderen/Actions/EditPointDetails/Steps/Step2/index.tsx#L84:93"
20 lines occurring 2 times in 2 files,HIGH,RAW,2,20,20,2,false,true,TypeScript,"src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/DropDown.tsx#L81:110,src/Components/HomePage/Body/Left/Common/SearchedResultsTab/FlightPlans/FlightPlansList/List.tsx#L121:150"
20 lines occurring 2 times in 2 files,HIGH,RAW,2,20,20,2,false,false,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step1/SinglePlan.tsx#L44:74,src/hooks/hover-click-handlers/usePlanClick.ts#L21:51"
20 lines occurring 2 times in 2 files,HIGH,RAW,2,20,20,2,false,false,TypeScript,"src/Components/HomePage/Body/Bottom/PlansView/Details/index.tsx#L26:76,src/hooks/useGetFlightTimesDistance.ts#L8:69"
20 lines occurring 2 times in 2 files,HIGH,RAW,2,20,20,2,false,true,TypeScript,"backend/src/routes/points/getPrePreparedPlanPoints.ts#L11:31,backend/src/routes/points/getSearchedPoints.ts#L11:31"
10 lines occurring 3 times in 3 files,HIGH,RAW,1,10,20,3,false,true,TypeScript,"src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/DuplicateFlightPlan/Step2/Buttons.tsx#L22:31,src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step3/Buttons.tsx#L40:49,src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/Buttons.tsx#L61:70"
