Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"20 lines of code for unit drawYellowPlanGraphics.ts.drawYellowPoint(EnrichedPointType,__esri.GraphicsLayer|null)",LOW,RAW,2026-06-04,26,"drawYellowPlanGraphics.ts.drawYellowPoint(EnrichedPointType,__esri.GraphicsLayer|null)",src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointToPlan/helpers/drawYellowPlanGraphics.ts#L17:42,TypeScript,20,3,2
20 lines of code for unit KaartlagenlijstTab.tsx.KaartlagenlijstTab(),LOW,RAW,2026-06-04,26,KaartlagenlijstTab.tsx.KaartlagenlijstTab(),src/Components/HomePage/Body/Left/Common/BottomTabs/KaartlagenlijstTab.tsx#L5:30,TypeScript,20,1,0
20 lines of code for unit spoedReportPdf.ts.waitForEmbeddedAssets(Page),LOW,RAW,2026-06-29,1,spoedReportPdf.ts.waitForEmbeddedAssets(Page),backend/src/routes/emails/spoedReportPdf.ts#L22:41,TypeScript,20,9,1
"20 lines of code for unit entityDeleteHelpers.ts.removePointIdsFromFlightPlans(PoolClient,number[])",LOW,RAW,2026-06-29,1,"entityDeleteHelpers.ts.removePointIdsFromFlightPlans(PoolClient,number[])",backend/src/helpers/entityDeleteHelpers.ts#L64:90,TypeScript,20,6,2
20 lines of code for unit useWizardButtons.ts.useWizardButtons(string),LOW,RAW,2026-06-10,20,useWizardButtons.ts.useWizardButtons(string),src/hooks/wizard/useWizardButtons.ts#L5:8,TypeScript,20,1,1
"20 lines of code for unit db.ts.queueDeviceCommand(string,DeviceCommand)",LOW,RAW,2026-06-04,26,"db.ts.queueDeviceCommand(string,DeviceCommand)",backend/src/routes/devices-updates/db.ts#L233:257,TypeScript,20,2,2
20 lines of code for unit loadRoles(),LOW,RAW,2026-06-29,1,loadRoles(),src/Components/DashboardPage/shared/useKeycloakRoles.ts#L17:36,TypeScript,20,5,0
20 lines of code for unit index.tsx.Step3(),LOW,RAW,2026-06-04,26,index.tsx.Step3(),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step3/index.tsx#L10:56,TypeScript,20,4,0
20 lines of code for unit fetchAndRegisterToken(),LOW,RAW,2026-06-04,26,fetchAndRegisterToken(),src/helpers/refreshToken.ts#L35:58,TypeScript,20,6,0
20 lines of code for unit calculateCenterAndZoom.ts.geometryCentroid(FinishedGeometryType),LOW,RAW,2026-06-04,26,calculateCenterAndZoom.ts.geometryCentroid(FinishedGeometryType),src/helpers/ArcGISHelpers/calculateCenterAndZoom.ts#L6:27,TypeScript,20,8,1
"20 lines of code for unit buildUpdatedPlanFromForm.ts.buildUpdatedPlanFromForm(FlightPlanType,ViewPlanFormFields,EnrichedPointType[],Geometry[])",LOW,RAW,2026-06-04,26,"buildUpdatedPlanFromForm.ts.buildUpdatedPlanFromForm(FlightPlanType,ViewPlanFormFields,EnrichedPointType[],Geometry[])",src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/Step2/helpers/buildUpdatedPlanFromForm.ts#L30:54,TypeScript,20,1,4
20 lines of code for unit SearchedTab.tsx.SearchedTab(),LOW,RAW,2026-06-04,26,SearchedTab.tsx.SearchedTab(),src/Components/HomePage/Body/Left/Common/BottomTabs/SearchedTab.tsx#L5:33,TypeScript,20,1,0
20 lines of code for unit ResultTab.tsx.ResultTab(),LOW,RAW,2026-06-04,26,ResultTab.tsx.ResultTab(),src/Components/HomePage/Body/Left/Common/BottomTabs/ResultTab.tsx#L6:33,TypeScript,20,2,0
20 lines of code for unit pointJson.ts,LOW,RAW,2026-06-30,0,pointJson.ts,backend/src/helpers/queries/points/pointJson.ts#L1:20,TypeScript,20,1,0
20 lines of code for unit swagger.ts.setupSwagger(Express),LOW,RAW,2026-06-10,20,swagger.ts.setupSwagger(Express),backend/src/routes/swagger.ts#L54:74,TypeScript,20,1,1
"20 lines of code for unit useSortedPointSelection.ts.useSortedPointSelection(EnrichedPointType[],number[])",LOW,RAW,2026-06-10,20,"useSortedPointSelection.ts.useSortedPointSelection(EnrichedPointType[],number[])",src/hooks/viewPlan/useSortedPointSelection.ts#L4:16,TypeScript,20,12,2
20 lines of code for unit useCoordinatesWatcher.ts.useCoordinatesWatcher(),LOW,RAW,2026-06-04,26,useCoordinatesWatcher.ts.useCoordinatesWatcher(),src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/useCoordinatesWatcher.ts#L4:22,TypeScript,20,1,0
20 lines of code for unit fetchLatestInstaller(),LOW,RAW,2026-06-04,26,fetchLatestInstaller(),src/Components/InstallationsPage/index.tsx#L27:46,TypeScript,20,6,0
20 lines of code for unit Buttons.tsx.Buttons(),LOW,RAW,2026-06-04,26,Buttons.tsx.Buttons(),src/Components/HomePage/Body/Left/Voorbereiding/DrawingTool/Step2/Buttons.tsx#L16:34,TypeScript,20,4,0
"20 lines of code for unit fileDownload.ts.setPasswordHandler(any,any)",LOW,RAW,2026-06-04,26,"fileDownload.ts.setPasswordHandler(any,any)",backend/src/routes/fileDownload.ts#L24:51,TypeScript,20,5,2
20 lines of code for unit filterState.ts,LOW,RAW,2026-06-04,26,filterState.ts,src/helpers/ZustandStates/filterState.ts#L1:52,TypeScript,20,1,0
20 lines of code for unit Form.tsx.Form(),LOW,RAW,2026-06-04,26,Form.tsx.Form(),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/Steps/Step3/Form.tsx#L8:74,TypeScript,20,1,0
19 lines of code for unit spoedReportMail.ts.sendSpoedReportMail(SpoedMailPayload),LOW,RAW,2026-06-29,1,spoedReportMail.ts.sendSpoedReportMail(SpoedMailPayload),backend/src/routes/emails/spoedReportMail.ts#L29:49,TypeScript,19,1,1
19 lines of code for unit useDrawYellowGeometries.ts.useDrawYellowGeometries(UseDrawYellowGeometriesOptions),LOW,RAW,2026-06-04,26,useDrawYellowGeometries.ts.useDrawYellowGeometries(UseDrawYellowGeometriesOptions),src/hooks/hover-click-handlers/useDrawYellowGeometries.ts#L19:52,TypeScript,19,8,1
19 lines of code for unit handleSubmit(),LOW,RAW,2026-06-04,26,handleSubmit(),src/Components/HomePage/Body/Left/Voorbereiding/AddPointsVluchtPlan/Step3/Buttons.tsx#L29:47,TypeScript,19,1,0
"19 lines of code for unit getSearchedPoints.ts.getSearchedPoints(Request,Response)",LOW,RAW,2026-06-04,26,"getSearchedPoints.ts.getSearchedPoints(Request,Response)",backend/src/routes/points/getSearchedPoints.ts#L5:29,TypeScript,19,4,2
19 lines of code for unit Buttons.tsx.Step1Buttons(),LOW,RAW,2026-06-04,26,Buttons.tsx.Step1Buttons(),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step1/Buttons.tsx#L9:27,TypeScript,19,1,0
19 lines of code for unit SelectedPlanGeometryImagesPanel.tsx.SelectedPlanGeometryImagesPanel(any),LOW,RAW,2026-06-04,26,SelectedPlanGeometryImagesPanel.tsx.SelectedPlanGeometryImagesPanel(any),src/Components/HomePage/Body/Right/SelectedPlansPointsList/Images/SelectedPlanGeometryImagesPanel.tsx#L8:52,TypeScript,19,6,1
19 lines of code for unit SelectedPlanPointImagesPanel.tsx.SelectedPlanPointImagesPanel(any),LOW,RAW,2026-06-04,26,SelectedPlanPointImagesPanel.tsx.SelectedPlanPointImagesPanel(any),src/Components/HomePage/Body/Right/SelectedPlansPointsList/Images/SelectedPlanPointImagesPanel.tsx#L8:52,TypeScript,19,6,1
19 lines of code for unit resetFormAndState(),LOW,RAW,2026-06-04,26,resetFormAndState(),src/Components/HomePage/Body/Left/Voorbereiding/ViewPlan/Steps/AddPointStep/index.tsx#L113:131,TypeScript,19,1,0
19 lines of code for unit index.tsx.ChangePoint(any),LOW,RAW,2026-06-04,26,index.tsx.ChangePoint(any),src/Components/HomePage/Body/Left/Nabewerking/VluchtenZoeken/Steps/Step2/Actions/Waarnemingen/EditPointDetails/Actions/ChangePoint/index.tsx#L15:38,TypeScript,19,3,1
19 lines of code for unit handlePrevious(),LOW,RAW,2026-06-04,26,handlePrevious(),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step2/Buttons.tsx#L50:80,TypeScript,19,1,0
19 lines of code for unit useDeletePointState.ts,LOW,RAW,2026-06-10,20,useDeletePointState.ts,src/hooks/zustand/tools/useDeletePointState.ts#L1:150,TypeScript,19,1,0
19 lines of code for unit NextBtn.tsx.NextBtn(),LOW,RAW,2026-06-04,26,NextBtn.tsx.NextBtn(),src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/NextBtn.tsx#L12:31,TypeScript,19,2,0
"19 lines of code for unit getTimeRange.ts.getTimeRange(Request,Response)",LOW,RAW,2026-06-04,26,"getTimeRange.ts.getTimeRange(Request,Response)",backend/src/routes/timeslider/getTimeRange.ts#L6:27,TypeScript,19,3,2
19 lines of code for unit UpdateBtn.tsx.UpdateBtn(),LOW,RAW,2026-06-04,26,UpdateBtn.tsx.UpdateBtn(),src/Components/HomePage/Body/Left/Voorbereiding/EnrichedAddPoint/Steps/Step2/UpdateBtn.tsx#L8:27,TypeScript,19,1,0
"19 lines of code for unit selectedPlansPointsList.ts.buildListItems(PointWithPlan[],GeometryWithPlan[])",LOW,RAW,2026-06-04,26,"selectedPlansPointsList.ts.buildListItems(PointWithPlan[],GeometryWithPlan[])",src/helpers/timeslider/selectedPlansPointsList.ts#L85:106,TypeScript,19,1,2
19 lines of code for unit index.tsx.StepMultiplePoints(any),LOW,RAW,2026-06-04,26,index.tsx.StepMultiplePoints(any),src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/AddToPlan/StepMultiplePoints/index.tsx#L7:69,TypeScript,19,2,1
19 lines of code for unit handleUpdate(),LOW,RAW,2026-06-04,26,handleUpdate(),src/Components/HomePage/Body/Left/Tools/Emailijst/EditEmail/index.tsx#L28:47,TypeScript,19,2,0
19 lines of code for unit handleCancelClick(),LOW,RAW,2026-06-04,26,handleCancelClick(),src/Components/HomePage/Body/Left/Nabewerking/CreateReport/Steps/Step2/Buttons.tsx#L95:123,TypeScript,19,1,0
19 lines of code for unit index.tsx,LOW,RAW,2026-06-04,26,index.tsx,src/Components/HomePage/Body/Bottom/PointsView/FlightPlansTable/index.tsx#L1:40,TypeScript,19,1,0
19 lines of code for unit PlansList.tsx.PlansList(any),LOW,RAW,2026-06-04,26,PlansList.tsx.PlansList(any),src/Components/HomePage/Body/Left/Voorbereiding/SelectedPoint/ViewPlans/PlansList.tsx#L7:71,TypeScript,19,1,1
"19 lines of code for unit getTransformedCoordinates.ts.getTransformedCoordinates(any,any,number,number)",LOW,RAW,2026-06-04,26,"getTransformedCoordinates.ts.getTransformedCoordinates(any,any,number,number)",src/helpers/ArcGISHelpers/getTransformedCoordinates.ts#L3:30,TypeScript,19,7,4
19 lines of code for unit Buttons.tsx.Buttons(any),LOW,RAW,2026-06-04,26,Buttons.tsx.Buttons(any),src/Components/HomePage/Body/Left/Voorbereiding/FlightPlan/Steps/Step2/Buttons.tsx#L8:31,TypeScript,19,1,1
19 lines of code for unit db.ts.claimPendingCommand(string),LOW,RAW,2026-06-04,26,db.ts.claimPendingCommand(string),backend/src/routes/devices-updates/db.ts#L259:279,TypeScript,19,3,1
19 lines of code for unit index.ts,LOW,RAW,2026-06-04,26,index.ts,backend/src/routes/emails/index.ts#L1:36,TypeScript,19,1,0
