Description,Severity,Status,First Seen,Issue age,Unit,File,Technology,Lines of code,McCabe complexity,Number of parameters
"23 lines of code for unit updateGeometry.ts.updateGeometry(Request,Response)",LOW,RAW,2026-06-04,61,"updateGeometry.ts.updateGeometry(Request,Response)",backend/src/routes/geometries/updateGeometry.ts#L8:33,TypeScript,23,4,2
23 lines of code for unit pages.ts,LOW,RAW,2026-07-04,31,pages.ts,src/Components/HomePage/Head/headTabDefinitions/pages.ts#L1:26,TypeScript,23,1,0
"23 lines of code for unit drawYellowPlanGraphics.ts.drawYellowGeometries(Geometry[],__esri.GraphicsLayer|null)",LOW,RAW,2026-07-30,5,"drawYellowPlanGraphics.ts.drawYellowGeometries(Geometry[],__esri.GraphicsLayer|null)",src/Components/Voorbereiding/ViewPlan/Steps/AddPointToPlan/helpers/drawYellowPlanGraphics.ts#L31:60,TypeScript,23,5,2
23 lines of code for unit nnederlandLayerSpecsPart1b.ts,LOW,RAW,2026-07-18,17,nnederlandLayerSpecsPart1b.ts,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerSpecsPart1b.ts#L1:28,TypeScript,23,1,0
23 lines of code for unit index.tsx.ListPointFunctions(any),LOW,RAW,2026-07-15,20,index.tsx.ListPointFunctions(any),src/Components/HomePage/Body/Left/Common/SearchedResultsTab/Functions/ListPointsFunctions/index.tsx#L24:40,TypeScript,23,1,1
23 lines of code for unit useEntityPlanImages.ts.useEntityPlanImages(EntityPlanImagesInput),LOW,RAW,2026-07-17,18,useEntityPlanImages.ts.useEntityPlanImages(EntityPlanImagesInput),src/api-hooks/planImages/useEntityPlanImages.ts#L35:48,TypeScript,23,5,1
23 lines of code for unit promptPasswordAndCopyDownloadLink.ts.promptPasswordAndCopyDownloadLink(any),LOW,RAW,2026-07-30,5,promptPasswordAndCopyDownloadLink.ts.promptPasswordAndCopyDownloadLink(any),src/Components/Nabewerking/CreateReport/Steps/Step3/hooks/promptPasswordAndCopyDownloadLink.ts#L4:41,TypeScript,23,5,1
23 lines of code for unit index.ts,LOW,RAW,2026-06-04,61,index.ts,backend/src/routes/emails/index.ts#L1:41,TypeScript,23,1,0
23 lines of code for unit generatePdfReport.ts.generatePdfReport(GeneratePdfReportInput),LOW,RAW,2026-07-30,5,generatePdfReport.ts.generatePdfReport(GeneratePdfReportInput),src/Components/Nabewerking/CreateReport/helpers/generatePdfReport.ts#L29:57,TypeScript,23,3,1
23 lines of code for unit nnederlandLayerSpecsPart3d.ts,LOW,RAW,2026-07-18,17,nnederlandLayerSpecsPart3d.ts,src/Components/HomePage/Body/Left/Common/KaartLegend/LayersList/NNederland/nnederlandLayerSpecsPart3d.ts#L1:28,TypeScript,23,1,0
22 lines of code for unit usePointsViewLayoutController.ts.usePointsViewLayoutController(any),LOW,RAW,2026-07-14,21,usePointsViewLayoutController.ts.usePointsViewLayoutController(any),src/Components/HomePage/Body/Bottom/PointsView/common/hooks/usePointsViewLayoutController.ts#L5:39,TypeScript,22,1,1
22 lines of code for unit keycloakUserApi.ts.createKeycloakUser(any),LOW,RAW,2026-07-04,31,keycloakUserApi.ts.createKeycloakUser(any),src/Components/DashboardPage/shared/keycloakUserApi.ts#L69:96,TypeScript,22,1,1
22 lines of code for unit mapPointerHoverHandler.ts.createMapPointerHoverHandler(MapPointerHoverHandlerInput),LOW,RAW,2026-07-27,8,mapPointerHoverHandler.ts.createMapPointerHoverHandler(MapPointerHoverHandlerInput),src/Components/HomePage/Body/MapViewComp/mapPointerHoverHandler.ts#L41:41,TypeScript,22,4,1
